payload_cid,data_size,filenames
bafybeiesgadpnmij4lkt7jh7ugbqlx5d6bupnwgn6mfsc33idbssa5r4hu,34091302912,"['a2d2-preview.tar.00','a2d2-preview.tar.02','a2d2-preview.tar.03','a2d2-preview.tar.04','camera_lidar-20180810150607_bus_signals.tar','camera_lidar-20180810150607_camera_frontcenter.tar.00','camera_lidar-20180810150607_camera_sideleft.tar.00','camera_lidar-20180810150607_lidar_frontcenter.tar.00','camera_lidar-20190401121727_lidar_frontleft.tar.00','camera_lidar-20190401121727_lidar_rearcenter.tar.00','camera_lidar-20190401121727_lidar_sideleft.tar.02','camera_lidar-20190401121727_lidar_sideleft.tar.03','camera_lidar-20190401121727_lidar_sideleft.tar.06','camera_lidar-20190401121727_lidar_sideleft.tar.08','camera_lidar-20190401121727_lidar_sideleft.tar.10','camera_lidar-20190401121727_lidar_sideleft.tar.11','camera_lidar-20190401121727_lidar_sideleft.tar.19','camera_lidar-20190401121727_lidar_sideleft.tar.20','camera_lidar-20190401121727_lidar_sideright.tar.00']"
bafybeiee3m5hnhfufe6x4k4lbc767mqzj2hoalld776kksrog3sx6lwt3y,34091302912,"['camera_lidar-20180810150607_camera_sideright.tar.06','camera_lidar-20180810150607_camera_sideright.tar.07','camera_lidar-20180810150607_lidar_frontleft.tar.00','camera_lidar-20180810150607_lidar_frontright.tar.00','camera_lidar-20180810150607_lidar_sideleft.tar.22','camera_lidar-20190401121727_bus_signals.tar','camera_lidar-20190401121727_camera_frontcenter.tar.11','camera_lidar-20190401121727_camera_frontcenter.tar.12','camera_lidar-20190401121727_lidar_sideleft.tar.01','camera_lidar-20190401121727_lidar_sideleft.tar.04','camera_lidar-20190401121727_lidar_sideleft.tar.05','camera_lidar-20190401121727_lidar_sideleft.tar.09','camera_lidar-20190401121727_lidar_sideleft.tar.17','camera_lidar-20190401121727_lidar_sideleft.tar.18','camera_lidar-20190401121727_lidar_sideleft.tar.21','camera_lidar-20190401121727_lidar_sideleft.tar.22','camera_lidar-20190401121727_lidar_sideleft.tar.23','camera_lidar-20190401121727_lidar_sideleft.tar.25']"
bafybeid5t5fkhk7nvaf3chqraniiopjdvqekir43iqtfk3ykbswyp4bmnu,34091302912,"['a2d2-preview.tar.01','camera_lidar-20190401121727_camera_frontleft.tar.37','camera_lidar-20190401121727_camera_frontright.tar.16','camera_lidar-20190401121727_camera_rearcenter.tar.57','camera_lidar-20190401121727_camera_sideleft.tar.35','camera_lidar-20190401121727_camera_sideright.tar.10','camera_lidar-20190401121727_lidar_sideleft.tar.00','camera_lidar-20190401121727_lidar_sideleft.tar.07','camera_lidar-20190401121727_lidar_sideleft.tar.12','camera_lidar-20190401121727_lidar_sideleft.tar.13','camera_lidar-20190401121727_lidar_sideleft.tar.14','camera_lidar-20190401121727_lidar_sideleft.tar.15','camera_lidar-20190401121727_lidar_sideleft.tar.16','camera_lidar-20190401121727_lidar_sideleft.tar.24','camera_lidar-20190401121727_lidar_sideleft.tar.26','camera_lidar-20190401121727_lidar_sideleft.tar.27','camera_lidar-20190401121727_lidar_sideleft.tar.28','camera_lidar_semantic_instance.tar']"
bafybeiakhq6u4ql7kkn73tsbtysc5tzzr7shnzxdgwszbmvr5uxcz5pf6a,34091302912,"['camera_lidar-20190401121727_lidar_sideleft.tar.29','camera_lidar-20190401121727_lidar_sideleft.tar.30','camera_lidar-20190401121727_lidar_sideleft.tar.31','camera_lidar-20190401121727_lidar_sideleft.tar.32','camera_lidar-20190401121727_lidar_sideleft.tar.33','camera_lidar-20190401121727_lidar_sideleft.tar.34','camera_lidar-20190401121727_lidar_sideleft.tar.35','camera_lidar-20190401121727_lidar_sideleft.tar.36','camera_lidar-20190401121727_lidar_sideleft.tar.37','camera_lidar-20190401121727_lidar_sideleft.tar.38','camera_lidar-20190401121727_lidar_sideleft.tar.39','camera_lidar-20190401121727_lidar_sideleft.tar.40','camera_lidar-20190401121727_lidar_sideleft.tar.41','camera_lidar-20190401121727_lidar_sideleft.tar.42','camera_lidar-20190401121727_lidar_sideleft.tar.43','camera_lidar-20190401121727_lidar_sideleft.tar.44','camera_lidar-20190401121727_lidar_sideleft.tar.45']"
bafybeigloqa6en4gg234h3swughpxnjawkacn7y7pmrwjz556bqvp5atdm,34091302912,"['camera_lidar-20190401121727_lidar_sideleft.tar.46','camera_lidar-20190401121727_lidar_sideleft.tar.47','camera_lidar-20190401121727_lidar_sideleft.tar.48','camera_lidar-20190401121727_lidar_sideleft.tar.49','camera_lidar-20190401121727_lidar_sideleft.tar.50','camera_lidar-20190401121727_lidar_sideleft.tar.51','camera_lidar-20190401121727_lidar_sideleft.tar.52','camera_lidar-20190401121727_lidar_sideleft.tar.53','camera_lidar-20190401121727_lidar_sideleft.tar.54','camera_lidar-20190401121727_lidar_sideleft.tar.55','camera_lidar-20190401121727_lidar_sideleft.tar.56','camera_lidar-20190401121727_lidar_sideleft.tar.57','camera_lidar-20190401121727_lidar_sideleft.tar.58','camera_lidar-20190401121727_lidar_sideleft.tar.59','camera_lidar-20190401121727_lidar_sideleft.tar.60','camera_lidar-20190401121727_lidar_sideleft.tar.61','camera_lidar-20190401121727_lidar_sideleft.tar.62']"
bafybeic3revax4xjzsnw76jf7ro4xv4y52assq2d6wv2h6uvsffrtiaupu,34091302912,"['camera_lidar-20180810150607_camera_frontleft.tar.00','camera_lidar-20180810150607_camera_frontleft.tar.01','camera_lidar-20180810150607_camera_frontleft.tar.02','camera_lidar-20180810150607_camera_frontleft.tar.03','camera_lidar-20180810150607_camera_frontleft.tar.04','camera_lidar-20180810150607_camera_frontleft.tar.05','camera_lidar-20180810150607_camera_frontleft.tar.06','camera_lidar-20180810150607_camera_frontleft.tar.07','camera_lidar-20180810150607_camera_frontleft.tar.08','camera_lidar-20180810150607_camera_frontleft.tar.09','camera_lidar-20190401121727_lidar_sideleft.tar.63','camera_lidar-20190401121727_lidar_sideleft.tar.64','camera_lidar-20190401121727_lidar_sideleft.tar.65','camera_lidar-20190401121727_lidar_sideleft.tar.66','camera_lidar-20190401121727_lidar_sideleft.tar.67','camera_lidar-20190401121727_lidar_sideleft.tar.68','camera_lidar-20190401121727_lidar_sideleft.tar.69','camera_lidar-20190401121727_lidar_sideleft.tar.70']"
bafybeiaigbs3d7ne7xl7rpbxouxp34yi4m52qhartmsuujjrblmdesbbxe,34091302912,"['camera_lidar-20180810150607_camera_frontleft.tar.10','camera_lidar-20180810150607_camera_frontleft.tar.11','camera_lidar-20180810150607_camera_frontleft.tar.12','camera_lidar-20180810150607_camera_frontleft.tar.13','camera_lidar-20180810150607_camera_frontleft.tar.14','camera_lidar-20180810150607_camera_frontleft.tar.15','camera_lidar-20180810150607_camera_frontleft.tar.16','camera_lidar-20180810150607_camera_frontleft.tar.17','camera_lidar-20180810150607_camera_frontleft.tar.18','camera_lidar-20180810150607_camera_frontleft.tar.19','camera_lidar-20180810150607_camera_frontleft.tar.20','camera_lidar-20180810150607_camera_frontleft.tar.21','camera_lidar-20180810150607_camera_frontleft.tar.22','camera_lidar-20180810150607_camera_frontleft.tar.23','camera_lidar-20180810150607_camera_frontleft.tar.24','camera_lidar-20180810150607_camera_frontleft.tar.25','camera_lidar-20180810150607_camera_frontleft.tar.26']"
bafybeibft66d4bgkbhq5auw63lhbmdcssza2gpw3uexf2bz2ozyyccxroi,34091302912,"['camera_lidar-20180810150607_camera_frontleft.tar.27','camera_lidar-20180810150607_camera_frontleft.tar.28','camera_lidar-20180810150607_camera_frontleft.tar.29','camera_lidar-20180810150607_camera_frontleft.tar.30','camera_lidar-20180810150607_camera_frontleft.tar.31','camera_lidar-20180810150607_camera_frontleft.tar.32','camera_lidar-20180810150607_camera_frontleft.tar.33','camera_lidar-20180810150607_camera_frontleft.tar.34','camera_lidar-20180810150607_camera_frontleft.tar.35','camera_lidar-20180810150607_camera_frontleft.tar.36','camera_lidar-20180810150607_camera_frontleft.tar.37','camera_lidar-20180810150607_camera_frontleft.tar.38','camera_lidar-20180810150607_camera_frontleft.tar.39','camera_lidar-20180810150607_camera_frontleft.tar.40','camera_lidar-20180810150607_camera_frontleft.tar.41','camera_lidar-20180810150607_camera_frontleft.tar.42','camera_lidar-20180810150607_camera_frontleft.tar.43']"
bafybeibogjln3frdhjnbfx2lxe7zwsxdowbhfuapojhgtuo2htc7zo3akm,34091302912,"['camera_lidar-20180810150607_camera_frontleft.tar.44','camera_lidar-20180810150607_camera_frontleft.tar.45','camera_lidar-20190401121727_lidar_frontleft.tar.01','camera_lidar-20190401121727_lidar_frontleft.tar.02','camera_lidar-20190401121727_lidar_frontleft.tar.03','camera_lidar-20190401121727_lidar_frontleft.tar.04','camera_lidar-20190401121727_lidar_frontleft.tar.05','camera_lidar-20190401121727_lidar_frontleft.tar.06','camera_lidar-20190401121727_lidar_frontleft.tar.07','camera_lidar-20190401121727_lidar_frontleft.tar.08','camera_lidar-20190401121727_lidar_frontleft.tar.09','camera_lidar-20190401121727_lidar_frontleft.tar.10','camera_lidar-20190401121727_lidar_frontleft.tar.11','camera_lidar-20190401121727_lidar_frontleft.tar.12','camera_lidar-20190401121727_lidar_frontleft.tar.13','camera_lidar-20190401121727_lidar_frontleft.tar.14','camera_lidar-20190401121727_lidar_frontleft.tar.15','camera_lidar-20190401121727_lidar_frontleft.tar.16']"
bafybeibrzlxo3ki5avyo4uj4auxagrzd3mvtye7shudjto6irhk7w6qipe,34091302912,"['camera_lidar-20190401121727_lidar_frontleft.tar.17','camera_lidar-20190401121727_lidar_frontleft.tar.18','camera_lidar-20190401121727_lidar_frontleft.tar.19','camera_lidar-20190401121727_lidar_frontleft.tar.20','camera_lidar-20190401121727_lidar_frontleft.tar.21','camera_lidar-20190401121727_lidar_frontleft.tar.22','camera_lidar-20190401121727_lidar_frontleft.tar.23','camera_lidar-20190401121727_lidar_frontleft.tar.24','camera_lidar-20190401121727_lidar_frontleft.tar.25','camera_lidar-20190401121727_lidar_frontleft.tar.26','camera_lidar-20190401121727_lidar_frontleft.tar.27','camera_lidar-20190401121727_lidar_frontleft.tar.28','camera_lidar-20190401121727_lidar_frontleft.tar.29','camera_lidar-20190401121727_lidar_frontleft.tar.30','camera_lidar-20190401121727_lidar_frontleft.tar.31','camera_lidar-20190401121727_lidar_frontleft.tar.32','camera_lidar-20190401121727_lidar_frontleft.tar.33']"
