payload_cid,data_size,filenames
bafybeihuou2zgwbj3a45we5wa3aoruup7xie3gamsbkjxacaevrz7kk4i4,34091302912,"['challenge_19.00']"
bafybeie44mi3kwb7kocvuqroqnndjkktjkgcrnmvjl3l5lm3jf2zf6ne5q,34091302912,"['challenge_19.01']"
bafybeiehpiuazl4ldcnhz3txpsdqrtmnou7fgci4p4xyj6563jipu4444y,34091302912,"['challenge_19.02']"
bafybeia4otzf74paqcs64uliqjnrylenvx2kbwt7qhjmvt2ju6mwemx5ju,34091302912,"['challenge_19.03']"
bafybeiftwamcyt7rpxvlvbmhe57b7ucpyrqlii4ojztxm7kssm2tjqbbwy,8522825728,"['challenge_19.04']"
bafybeicfc6kbsf3johlt2eb6odvd5v3lttqnuxfp2jvo4natkv7yh64mii,532676608,"['phase1radix2m19']"
bafybeigskowzjvg2ekpjdj5o76gedvxb43gynv4rlc623j7mk6u5tvnqqq,34091302912,"['phase1radix2m27.00']"
bafybeidpfeuecfmvfgirynu3r54vfib4xx2eqoo5bov2p5pngpy4dsdn34,34091302912,"['phase1radix2m27.01']"
bafybeienqpp7ua3tiklvcwqr3ujuiqu3bqn7qrkdqb4owgt2vuixvjqbfe,34091302912,"['phase1radix2m27.02']"
bafybeiaig43lyv6oa6vwgz35ul6tlmnhjq4zqgomvm65rxtdvyf5okuisa,34091302912,"['phase1radix2m27.03']"
bafybeidsr2jngxtxtjp6nn7by7mbk5e7wgqaip3mlrpylbqzfxgjf4rv5m,8522825728,"['phase1radix2m27.04']"
bafybeiallyw6gjohjchks3caravosqd77kf25dwru7yisaok5jqihv64ay,34091302912,"['sdr_poseidon_32gib_b288702_0_large.00']"
bafybeic5kx4aitouubhklg36vrb5gk7ct22xjmzyxjiru4dul3vi6xwmem,34091302912,"['sdr_poseidon_32gib_b288702_0_large.01']"
bafybeieqnto2riyunqjfm27kp7z3ro6u3e4eziqd2kn7bpzxolufhlaw4m,17045651456,"['sdr_poseidon_32gib_b288702_0_large.02']"
bafybeiak33izepumri4xtwsp5rblkxfixbrvsqxuhi2ufpsmsh2bpsf67e,34091302912,"['sdr_poseidon_32gib_b288702_0_small_raw']"
bafybeidj2cy3i4i4vddspj43hlf3ki7ji5cue7x3deukheekga5garfcby,34091302912,"['sdr_poseidon_32gib_b288702_10_small_raw']"
bafybeigl63hy2zog6s5ux54uap63xtdlu3hvnrezjq7r4ufyrrpqx67l3i,34091302912,"['sdr_poseidon_32gib_b288702_11_small_raw']"
bafybeignzng3u6w5glwgpbbi7jvsxvpayp6zd7sp4cbm347jrpd7m44tea,34091302912,"['sdr_poseidon_32gib_b288702_12_small_raw']"
bafybeifykko6umwmv7lm2cnrci3ildy4sd72365qqdsd73yx7ajlrowreu,34091302912,"['sdr_poseidon_32gib_b288702_13_small_raw']"
bafybeiasy3kl5hz7hsa6yfscecx54mh2su2uzp6amcj7tm7tvuqp2zlova,34091302912,"['sdr_poseidon_32gib_b288702_14_small_raw']"
bafybeihktam7jtndcxmjaiwef3dqjpp5norogx5ucfnm4nc7bebksw4rdu,34091302912,"['sdr_poseidon_32gib_b288702_15_small_raw']"
bafybeifd5ze7f3j4b7spv7s6dkrk7fhxqoml4eqsjql5fb6ovtwuqdk4km,34091302912,"['sdr_poseidon_32gib_b288702_16_small_raw']"
bafybeid7jc3c6trnsqdoxm5ecqfretruw6zueinyngm222lebtkrkonrca,34091302912,"['sdr_poseidon_32gib_b288702_17_small_raw']"
bafybeibastr6ggnxudhwmbpkrm3ycmtfidgryvnowdxdlcczqpa3jhgtci,34091302912,"['sdr_poseidon_32gib_b288702_1_small_raw']"
bafybeibi5ixem6ulwnl4pxhe5ai2qxpbra3ugvgdijigjso7npukjfllry,34091302912,"['sdr_poseidon_32gib_b288702_2_small_raw']"
bafybeiexchgcwkm4owdpp2tvetoltgg37nt7x4cvbyd22vmzfo2mrvg4tu,34091302912,"['sdr_poseidon_32gib_b288702_3_small_raw']"
bafybeibyaqvbsp5zqrvhacd4zmicihpfounfxjrhjczn7bp3bdqubdmyju,34091302912,"['sdr_poseidon_32gib_b288702_4_small_raw']"
