payload_cid,data_size,filenames
bafybeiffswec2ynbh5rwyzyziu5534pvhubqklzctkt3lglljbco54biwq,34091302912,"['train.tgz.00']"
bafybeici5ow6ymmqnxo2k23gaqk7ckruzessh56rtd4tjjdo2ebikypu5a,34091302912,"['train.tgz.01']"
bafybeihm2qnn2dkpocq3sqxeioovhesrtxhgiijhzi3jbvhdaw5q6iyeua,34091302912,"['train.tgz.02']"
bafybeietwxp4uzwqlmiypve2hz44zgctrqowez62u7lmzid65qgds65n3u,34091302912,"['train.tgz.03']"
bafybeidxxlsic5njihs57as7hm77leuurir6pokaqj6qarcaarztezgili,34091302912,"['train.tgz.04']"
bafybeihwgf6xxnct44ppevtmzcmoukuqxzr5hzknpsn34mb4eli53ts5yq,34091302912,"['train.tgz.05']"
bafybeibyzcrwieg35x4f262fujkvl4kr2syl5lgh2uo4mnr5x5a5yujwgi,34091302912,"['train.tgz.06']"
bafybeih7qaybe72vlqb6n3g6vh4ig5xgkwnohh76n6m3w3h7ajribu3zde,34091302912,"['train.tgz.07']"
bafybeidmn5pspfq74xqf63dmivlftzc6azagikvswuseouqpri7nyltohy,34091302912,"['train.tgz.08']"
bafybeifxzw2yhax4aksd4kgja6yivhicteslqfjo7t63khicoqnlivxtt4,34091302912,"['train.tgz.09']"
bafybeidf2eol7556hww4j6cuy2qnkdsberpweqi7wxe5bobxh5gqf3keou,34091302912,"['train.tgz.10']"
bafybeifybyoh3kmdh4rgpqipeabuu7dnaca7k4whyxvwpesqu6uwthmnyi,34091302912,"['train.tgz.11']"
bafybeieut7u7esensdf3amenpar6vd5354qg4a3toxejbrl2p5oziapalq,34091302912,"['train.tgz.12']"
bafybeib2vb3w2wti2gvy7idznvkaxbwk6xv7fykjtyrblld6hwvbhmryse,34091302912,"['train.tgz.13']"
bafybeigjszafijjpq33clshcmiefnoysvgwtf2o2uaeelur6sxk7oriura,34091302912,"['train.tgz.14']"
bafybeihnmzw7lkeqvvrkb4z7rd4bmc72w5myo2o5ziyariejhizs7v4tge,34091302912,"['train.tgz.15']"
bafybeicr6albqfxprrachlrc6jl5mqvt2goeungyie647ds2qe66p2ybbu,34091302912,"['train.tgz.16']"
bafybeiajst3cngbev2pwr72dbk3z6uz4h6tuhl5xlfrcnn7wnercir6caq,34091302912,"['train.tgz.17']"
bafybeig2avqc6nhffysu4m37g66vcuibrzv3vi4gri4csmk5llhlelxgaq,34091302912,"['train.tgz.18']"
bafybeibkstupopf3fw4onizepb3e6zg574ksn5jtuaxlkvprdizy6sj3lu,34091302912,"['train.tgz.19']"
bafybeidrgn5xmntgoe2eocgmdswy2ka7fhprxhucxwl4rj5yb577fovbci,34091302912,"['train.tgz.20']"
bafybeidhhijild5wx6hrgkytl255bmnbdyjllvwstnumdx5g5aasbgxc7u,34091302912,"['train.tgz.21']"
bafybeid3lf62uqymbycihvcpf4nwk6qwfkg3photr7xgfxor7rbospjm6m,34091302912,"['train.tgz.22']"
bafybeiezdgl5cvnsthfznttvlbfv3cms2uzw7e25e4d75i36rxedsfjvli,34091302912,"['train.tgz.23']"
bafybeiciz5m6konybopsc7zxqkc3ap3qbx5q7tcp6ai3zsmjhcikjtbtuu,34091302912,"['train.tgz.24']"
bafybeibmfpumh4neobmdl6sbe543kdrfre4besi6mtfozybjjjlo3wu6rm,34091302912,"['train.tgz.25']"
bafybeicaanqnpc5emjxvwlgub5ro3jqcoipyztoa3dunizcpp5kgaj2joa,1065353216,"['train.tgz.26']"
bafybeie4hkqia45woquhwf4skwallrnasp6sybra2nl6pxxmtejuo475iu,17045651456,"['val.tgz']"
